city_id,city
1164,Lambsburg
1165,Norristown
1166,Saint Johns
1167,Delphi
1168,Clifton Park
1169,Snoqualmie
1170,Medicine Lodge
1171,Hephzibah
1172,Liberty Lake
1173,Pearland
1174,Pacific Palisades
1175,Suitland
1176,Manhattan
1177,Chatsworth
1178,Commerce City
1179,Chicago Heights
1180,Pisgah Forest
1181,Houghton Lake
1182,Midway
1183,Waupaca
1184,Fort Gratiot
1185,Central
1186,Colona
1187,Saint George
1188,Prudenville
1189,Maryland Heights
1190,Desert Hot Springs
1191,Santa Fe
1192,Saint Clair Shores
1193,Guin
1194,Rancho Cordova
1195,Coalinga
1196,Springdale
1197,Wickliffe
1198,Ogdensburg
1199,Lisle
1200,Hudsonville
1201,Williams
1202,Grandview
1203,Hingham
1204,West Helena
1205,Rock Hill
1206,DeFuniak Springs
1207,Alameda
1208,Whitakers
1209,Coushatta
1210,Romeoville
1211,Citrus Heights
1212,Grove Hill
1213,New Roads
1214,Cortland
1215,Croswell
1216,Lawton
1217,Pittsford
1218,Byram
1219,Grantsville
1220,Hubert
1221,Veradale
1222,Olympia
1223,Van Buren
1224,Napoleon
1225,Moorefield
1226,Cheshire
1227,Owego
1228,Henrico
1229,West Monroe
1230,Caldwell
1231,Swainsboro
1232,Floyd
1233,Coeburn
1234,Iola
1235,Osceola
1236,Sherman
1237,Clive
1238,Pennsauken
1239,Cave City
1240,Mastic
1241,Rosenberg
1242,Clarksville
1243,Towson
1244,Friendswood
1245,Loretto
1246,Valley
1247,Yadkinville
1248,Harrold
1249,Springhill
1250,Griffith
1251,Parkville
1252,Yuma
1253,Jeffersonville
1254,South Gate
1255,Brookville
1256,Huntingdon
1257,Moab
1258,Grandville
1259,Avon Lake
1260,Willow Grove
1261,San Jacinto
1262,Laredo
1263,West Columbia
1264,Deer Park
1265,Mount Prospect
1266,Rock Springs
1267,Youngsville
1268,West Springfield
1269,Ellijay
1270,Merrillville
1271,Clintonville
1272,Pensacola
1273,Pontiac
1274,Spanish Fork
1275,South Williamson
1276,Bohemia
1277,Townsend
1278,Oacoma
1279,San Fernando
1280,Oconto
1281,Great Bend
1282,Wilmington
1283,Wilburton
1284,Sherburne
1285,Wake Forest
1286,Glenolden
1287,Randolph
1288,Parker
1289,Fort Collins
1290,East Orange
1291,Bellaire
1292,Niagara Falls
1293,Shelby
1294,Owasso
1295,Willoughby
1296,Trenton
1297,Maplesville
1298,Glennville
1299,Hazel Park
1300,Whitestone
1301,La Junta
1302,Maggie Valley
1303,Blair
1304,Excelsior Springs
1305,Oak Park
1306,Terryville
1307,Monett
1308,Chaska
1309,Grand Junction
1310,Monahans
1311,Wixom
1312,Kokomo
1313,Lesage
1314,Reedsburg
1315,Sadieville
1316,Island Park
1317,Beaver
